table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db,r2_own_c,r2_parent_c,r2_child_c,parent_lift,child_lift
table_1,feature_4,1690,21,12,40,0.5015244225040983,0.519299947431614,0.5040890890579951,rdbpfn,large_woGNN/dag_rdb_1006,0.5015244225040983,0.519299947431614,0.5040890890579951,0.017775524927515662,0.002564666553896755
table_1,feature_12,1690,21,12,40,0.2461480851434527,0.2606073190069791,0.2494256948295102,rdbpfn,large_woGNN/dag_rdb_1006,0.2461480851434527,0.2606073190069791,0.2494256948295102,0.014459233863526377,0.0032776096860575032
table_2,feature_10,2211,18,24,0,0.6191440410452236,0.584275023931604,,rdbpfn,large_woGNN/dag_rdb_1007,0.6191440410452236,0.584275023931604,,-0.03486901711361956,
table_1,feature_0,2082,20,24,0,0.9001386388031604,0.8979641003776092,,rdbpfn,large_woGNN/dag_rdb_1007,0.9001386388031604,0.8979641003776092,,-0.0021745384255511535,
table_1,feature_12,2082,20,24,0,0.7363264561822824,0.7030222735243807,,rdbpfn,large_woGNN/dag_rdb_1007,0.7363264561822824,0.7030222735243807,,-0.03330418265790169,
table_1,feature_6,1001,15,23,0,0.6572486467718142,0.7231799478590111,,rdbpfn,large_woGNN/dag_rdb_1008,0.6572486467718142,0.7231799478590111,,0.06593130108719691,
table_0,feature_0,1128,22,0,92,0.8014648232721419,,0.7901870258856187,rdbpfn,large_woGNN/dag_rdb_1008,0.8014648232721419,,0.7901870258856187,,-0.011277797386523125
table_1,feature_0,1001,15,23,0,0.4050647400363643,0.5325395068958008,,rdbpfn,large_woGNN/dag_rdb_1008,0.4050647400363643,0.5325395068958008,,0.12747476685943648,
table_4,feature_4,1075,13,24,0,-0.1336796803286595,-0.1595379434251473,,rdbpfn,large_woGNN/dag_rdb_1009,-0.1336796803286595,-0.1595379434251473,,-0.025858263096487782,
table_1,feature_6,1745,11,0,119,0.2085258458288219,,0.152022184131186,rdbpfn,large_woGNN/dag_rdb_1009,0.2085258458288219,,0.152022184131186,,-0.056503661697635876
table_0,feature_8,1000,11,0,159,0.8719929074944018,,0.8674002120860627,rdbpfn,large_woGNN/dag_rdb_1009,0.8719929074944018,,0.8674002120860627,,-0.004592695408339176
table_2,feature_4,2223,11,12,40,0.7675558547074791,0.7578555958517899,0.7631396377146034,rdbpfn,large_woGNN/dag_rdb_500,0.7675558547074791,0.7578555958517899,0.7631396377146034,-0.009700258855689259,-0.004416216992875754
table_5,feature_2,4000,11,14,0,0.146945078211565,0.1542828009744091,,rdbpfn,large_woGNN/dag_rdb_500,0.146945078211565,0.1542828009744091,,0.007337722762844112,
table_1,feature_6,4000,11,0,83,0.0803033181117187,,0.0639020151722974,rdbpfn,large_woGNN/dag_rdb_500,0.0803033181117187,,0.0639020151722974,,-0.016401302939421297
table_3,feature_10,4000,11,15,0,-0.0718791910720026,-0.1076932383554662,,rdbpfn,large_woGNN/dag_rdb_501,-0.0718791910720026,-0.1076932383554662,,-0.0358140472834636,
table_0,feature_8,1066,14,0,221,0.0906091269545267,,0.079013037163714,rdbpfn,large_woGNN/dag_rdb_501,0.0906091269545267,,0.079013037163714,,-0.01159608979081271
table_4,feature_10,4000,11,15,0,0.8609586142815268,0.8960634399799379,,rdbpfn,large_woGNN/dag_rdb_501,0.8609586142815268,0.8960634399799379,,0.03510482569841111,
table_0,feature_0,2992,11,0,86,0.8051709982706,,0.7935986542528244,rdbpfn,large_woGNN/dag_rdb_502,0.8051709982706,,0.7935986542528244,,-0.011572344017775626
