table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db,r2_own_c,r2_parent_c,r2_child_c,parent_lift,child_lift
table_3,feature_4,2403,11,31,0,-0.194056304173698,-0.1122633015791938,,rdbpfn,large_woGNN/dag_rdb_502,-0.194056304173698,-0.1122633015791938,,0.08179300259450421,
table_1,feature_4,4000,18,0,86,0.5117380889406457,,0.4998020799034471,rdbpfn,large_woGNN/dag_rdb_502,0.5117380889406457,,0.4998020799034471,,-0.011936009037198547
table_2,feature_6,1204,11,24,0,0.2752782781103295,0.2980326377643103,,rdbpfn,large_woGNN/dag_rdb_503,0.2752782781103295,0.2980326377643103,,0.022754359653980816,
table_1,feature_8,1000,11,0,43,0.7629714487980853,,0.7517256934828589,rdbpfn,large_woGNN/dag_rdb_503,0.7629714487980853,,0.7517256934828589,,-0.011245755315226424
table_1,feature_4,1000,11,0,43,0.7648287728881478,,0.7320699223207747,rdbpfn,large_woGNN/dag_rdb_503,0.7648287728881478,,0.7320699223207747,,-0.03275885056737304
table_5,feature_2,1028,11,18,178,0.5266344773685381,0.5065685727278539,0.5257772516716317,rdbpfn,large_woGNN/dag_rdb_504,0.5266344773685381,0.5065685727278539,0.5257772516716317,-0.02006590464068414,-0.000857225696906383
table_6,feature_8,1000,11,16,0,0.7820274237921098,0.7773746383343971,,rdbpfn,large_woGNN/dag_rdb_504,0.7820274237921098,0.7773746383343971,,-0.004652785457712638,
table_4,feature_20,1056,22,16,0,0.9634442323684806,0.9631317354057704,,rdbpfn,large_woGNN/dag_rdb_504,0.9634442323684806,0.9631317354057704,,-0.0003124969627102958,
table_0,feature_16,3602,19,0,140,0.6660978167695292,,0.661186198218783,rdbpfn,large_woGNN/dag_rdb_505,0.6660978167695292,,0.661186198218783,,-0.004911618550746177
table_0,feature_2,3602,19,0,140,0.3186117763371856,,0.3200467513743438,rdbpfn,large_woGNN/dag_rdb_505,0.3186117763371856,,0.3200467513743438,,0.0014349750371581704
table_3,feature_4,1654,22,36,0,0.8414234025866305,0.845474119075344,,rdbpfn,large_woGNN/dag_rdb_505,0.8414234025866305,0.845474119075344,,0.004050716488713468,
