table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db
table_2,feature_0,1284,11,12,40,0.0035988018058663584,0.0714382208024108,0.004918258500048678,rdbpfn,large_woGNN/dag_rdb_530
table_0,feature_14,1451,15,0,80,0.8266082521381567,,0.8137244576426943,rdbpfn,large_woGNN/dag_rdb_531
table_2,feature_4,1000,11,16,0,0.12015688983038086,0.1452525483660262,,rdbpfn,large_woGNN/dag_rdb_531
table_2,feature_0,1000,11,16,0,-0.19762843352577475,0.0922910290757164,,rdbpfn,large_woGNN/dag_rdb_531
table_1,feature_6,1680,11,14,0,0.9493751834272544,0.9577830497849922,,rdbpfn,large_woGNN/dag_rdb_532
table_1,feature_0,1680,11,14,0,0.8284249230923414,0.9635947781915898,,rdbpfn,large_woGNN/dag_rdb_532
table_0,feature_8,1782,13,0,40,0.10777485676375687,,0.08715279700786593,rdbpfn,large_woGNN/dag_rdb_532
table_6,feature_0,1030,15,13,0,-0.23942548998784363,-0.22253951755009416,,rdbpfn,large_woGNN/dag_rdb_533
table_4,feature_8,1193,21,13,0,0.03145848386140204,0.14252189941066995,,rdbpfn,large_woGNN/dag_rdb_533
table_2,feature_8,1000,11,16,299,0.8717779905972354,0.8773111639190296,0.8486635120197082,rdbpfn,large_woGNN/dag_rdb_533
results,laps,4000,7,8,0,0.30235445188517873,0.7020858579241631,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample1
races,year,289,3,7,76,0.3060466310172596,0.5215234155249012,0.9653842215713997,reldiff,synthetic/rel-f1_ref35/RelDiff/sample1
constructor_standings,points,2951,2,6,0,0.8446721816469465,0.9388811722066036,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample1
races,round,289,3,7,76,0.18150487386751302,0.682736941818334,0.9158484011780847,reldiff,synthetic/rel-f1_ref35/RelDiff/sample2
constructor_standings,points,2951,2,6,0,0.8376435224000769,0.9283458010802476,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample2
standings,points,4000,2,7,0,0.7927667817833265,0.9193713738106623,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample2
results,number,3995,7,8,0,-0.05221718787778373,0.05523981857509652,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample3
results,points,4000,7,8,0,0.732985344371791,0.7472207750823114,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample3
