model,block,stream,head,deviation_l2
plurel,2,col,0,0.6274803698720702
plurel,2,col,1,0.41253174701175555
plurel,2,col,2,0.5457552362052992
plurel,2,col,3,0.49511618868032975
plurel,2,col,4,0.5759544770620318
plurel,2,col,5,0.4707556137324065
plurel,2,col,6,0.509249023498597
plurel,2,col,7,0.5998799710617242
plurel,2,feat,0,0.7141434778002739
plurel,2,feat,1,0.42109515158043137
plurel,2,feat,2,0.35767583735914515
plurel,2,feat,3,0.5020340101033811
plurel,2,feat,4,0.4418238799377587
plurel,2,feat,5,0.45936292702192233
plurel,2,feat,6,0.4440663263819143
plurel,2,feat,7,0.5463732358958125
plurel,2,nbr,0,0.46235542099568455
plurel,2,nbr,1,0.48592599459578384
plurel,2,nbr,2,0.4059481943988864
plurel,2,nbr,3,0.4400524227960341
plurel,2,nbr,4,0.39217174429989915
plurel,2,nbr,5,0.39010497526238663
plurel,2,nbr,6,0.4294390458610903
plurel,2,nbr,7,0.4003411122853725
plurel,3,col,0,0.4639710842026833
plurel,3,col,1,0.444811277483924
plurel,3,col,2,0.517267067124673
plurel,3,col,3,0.5845463307155268
plurel,3,col,4,0.5205343357793292
plurel,3,col,5,0.5276084977079208
plurel,3,col,6,0.44058359971243427
plurel,3,col,7,0.5231138588175843
plurel,3,feat,0,0.41118381392309233
plurel,3,feat,1,0.47816444862224855
plurel,3,feat,2,0.46932677110411375
plurel,3,feat,3,0.6146120799475343
plurel,3,feat,4,0.5070199687449227
plurel,3,feat,5,0.47909098503482406
plurel,3,feat,6,0.5392044612988786
plurel,3,feat,7,0.6041289302671246
plurel,3,nbr,0,0.44592671323493543
plurel,3,nbr,1,0.43891439901197016
plurel,3,nbr,2,0.4499718986783621
plurel,3,nbr,3,0.4066607503280672
plurel,3,nbr,4,0.4008934376135443
plurel,3,nbr,5,0.41487322467327564
plurel,3,nbr,6,0.4342066132282736
plurel,3,nbr,7,0.37703865691765276
plurel,4,col,0,0.45146892313895476
plurel,4,col,1,0.5117642113096521
plurel,4,col,2,0.42042039953993604
plurel,4,col,3,0.4895962916766169
plurel,4,col,4,0.5024481421668806
plurel,4,col,5,0.467407644993457
plurel,4,col,6,0.5974213802489742
plurel,4,col,7,0.4581113222521165
plurel,4,feat,0,0.41921964524436905
plurel,4,feat,1,0.49247474084624904
plurel,4,feat,2,0.408258238179318
plurel,4,feat,3,0.36775876814667185
plurel,4,feat,4,0.4509171245588694
plurel,4,feat,5,0.5381859099743734
plurel,4,feat,6,0.5000286392116101
plurel,4,feat,7,0.6376620075122005
plurel,4,nbr,0,0.38046362440663317
plurel,4,nbr,1,0.3754862746841133
plurel,4,nbr,2,0.39763169287754363
plurel,4,nbr,3,0.37227789027051644
plurel,4,nbr,4,0.32731200726632076
plurel,4,nbr,5,0.3770362238629008
plurel,4,nbr,6,0.42106540802181747
plurel,4,nbr,7,0.34773972666369063
plurel,5,col,0,0.5020530727343826
plurel,5,col,1,0.46599527388115686
plurel,5,col,2,0.5113414928038165
plurel,5,col,3,0.45014492216293284
plurel,5,col,4,0.4331492323413254
plurel,5,col,5,0.4257700026190257
plurel,5,col,6,0.4467233406323368
plurel,5,col,7,0.556445740163685
plurel,5,feat,0,0.43424733193115383
plurel,5,feat,1,0.3991730039518401
plurel,5,feat,2,0.417235435275065
plurel,5,feat,3,0.47263471893262016
plurel,5,feat,4,0.40467548610278403
plurel,5,feat,5,0.5161502684130955
plurel,5,feat,6,0.4214607916271732
plurel,5,feat,7,0.38322016846282997
plurel,5,nbr,0,0.39303341128787894
plurel,5,nbr,1,0.37638946253489236
plurel,5,nbr,2,0.3935683179440162
plurel,5,nbr,3,0.3691068790289876
plurel,5,nbr,4,0.42917785547965565
plurel,5,nbr,5,0.3589276219109208
plurel,5,nbr,6,0.3903793993380442
plurel,5,nbr,7,0.4062747649750685
plurel,6,col,0,0.42720070080079614
plurel,6,col,1,0.5583647228442287
plurel,6,col,2,0.532676329999367
plurel,6,col,3,0.5563824473171652
plurel,6,col,4,0.5080717397093196
plurel,6,col,5,0.5560898029774689
plurel,6,col,6,0.42685621947059077
plurel,6,col,7,0.5319632395016505
plurel,6,feat,0,0.6906259034008487
plurel,6,feat,1,0.4665814365439222
plurel,6,feat,2,0.45919219445801046
plurel,6,feat,3,0.4181711272917281
plurel,6,feat,4,0.5693773513048198
plurel,6,feat,5,0.47615599883527865
plurel,6,feat,6,0.4715326625018592
plurel,6,feat,7,0.3884135231089361
plurel,6,nbr,0,0.31377685430287844
plurel,6,nbr,1,0.33450265179086897
plurel,6,nbr,2,0.48047195410241605
plurel,6,nbr,3,0.3832280108141579
plurel,6,nbr,4,0.3997718658727984
plurel,6,nbr,5,0.3895541939976811
plurel,6,nbr,6,0.38704539000207927
plurel,6,nbr,7,0.36436793373234505
plurel,7,col,0,0.4626201108798093
plurel,7,col,1,0.47476964567828694
plurel,7,col,2,0.46342581781825626
plurel,7,col,3,0.5422270326191189
plurel,7,col,4,0.41692239369342726
plurel,7,col,5,0.4841641151598453
plurel,7,col,6,0.4467569815576338
plurel,7,col,7,0.47987059056357056
plurel,7,feat,0,0.46682105739953444
plurel,7,feat,1,0.3156477584754142
plurel,7,feat,2,0.3747614012069247
plurel,7,feat,3,0.34303286372435315
plurel,7,feat,4,0.4191651778837742
plurel,7,feat,5,0.4708568136108516
plurel,7,feat,6,0.3656918547103226
plurel,7,feat,7,0.4947999543616899
plurel,7,nbr,0,0.38292982045597146
plurel,7,nbr,1,0.30952559036778676
plurel,7,nbr,2,0.36875602577830324
plurel,7,nbr,3,0.3814032974386737
plurel,7,nbr,4,0.34851900481736076
plurel,7,nbr,5,0.38515873979765763
plurel,7,nbr,6,0.3970728814548114
plurel,7,nbr,7,0.45303455634027945
plurel,8,col,0,0.5695477642862291
plurel,8,col,1,0.52439141890586
plurel,8,col,2,0.5397202221388334
plurel,8,col,3,0.6108882406137326
plurel,8,col,4,0.5256488087678897
plurel,8,col,5,0.5241589236338249
plurel,8,col,6,0.5150102885066927
plurel,8,col,7,0.4681398752303985
plurel,8,feat,0,0.4209592292943126
plurel,8,feat,1,0.4432883352762897
plurel,8,feat,2,0.46393974941303956
plurel,8,feat,3,0.4702544468000711
plurel,8,feat,4,0.4943075614269629
plurel,8,feat,5,0.43422702560417953
plurel,8,feat,6,0.39746564960732644
plurel,8,feat,7,0.5402699334005653
plurel,8,nbr,0,0.3218384396751747
plurel,8,nbr,1,0.32983449827164063
plurel,8,nbr,2,0.3219162738017262
plurel,8,nbr,3,0.373193177898582
plurel,8,nbr,4,0.297029868939925
plurel,8,nbr,5,0.36095138317713515
plurel,8,nbr,6,0.41994787180072113
plurel,8,nbr,7,0.37744035017450595
plurel,9,col,0,0.5290471135198668
plurel,9,col,1,0.4932910264755869
plurel,9,col,2,0.5601275267745142
